Charter number,Year and quarter,Year,Quarter ,Credit Union name,Street  (Mailing address),City  (Mailing address),State (Mailing address),Zip code (Mailing address),Credit Union type,NCUA region,Low-income designation,Members,Total assets,Total loans,Total deposits,Return on average assets,Net worth ratio (excludes CECL transition provision),Loan-to-share ratio,"Total deposits, 4 quarter growth  (%)","Total loans,  4 quarter growth  (%)","Total assets,  4 quarter growth  (%)","Members, 4 quarter growth  (%)","Net worth,  4 quarter growth (excludes CECL transition provision) (%)",NCUA internal ID (join_number)
5885,2024.1,2024,1,A.B.D.,27850 MOUND RD,WARREN,MI,48092,FCU,1,Yes,6614,69938257,19974345,59232229,0.87,13.03,33.72,-2.73,0.55,-0.46,-10.22,11.88,2584
5892,2024.1,2024,1,TRUE NORTH,PO Box 34157,Juneau,AK,99803,FCU,3,No,12984,224263829,169116273,190049693,0.26,9.16,88.99,1.79,23.37,8.01,4.13,6.13,2587
5913,2024.1,2024,1,GLOBAL,PO Box 196613,Anchorage,AK,99519,FCU,3,Yes,756781,11899356558,9831947218,9917333250,0.12,9.74,99.14,-3.51,-3.34,1.0,-0.79,0.68,2598
5922,2024.1,2024,1,SUBIACO,P.O. Box 84,Subiaco,AR,72865,FCU,2,Yes,2279,27541920,7354534,23400141,0.35,14.8,31.43,-13.07,21.34,-10.93,-7.84,3.35,2601
5924,2024.1,2024,1,MATANUSKA VALLEY,1020 S BAILEY ST,PALMER,AK,99645,FCU,3,Yes,59348,896337606,531695362,792831282,1.05,9.47,67.06,11.12,9.12,4.83,6.64,10.72,2602
5928,2024.1,2024,1,WAYNE-WESTLAND,500 S WAYNE RD,WESTLAND,MI,48186,FCU,1,Yes,11074,148008163,72427930,138919427,0.82,9.54,52.14,-0.39,5.27,1.63,-0.71,9.14,2604
5930,2024.1,2024,1,HEALTHPLUS,500 H E WOODROW WILSON Ave,JACKSON,MS,39216,FCU,2,Yes,2874,9835601,8664813,8550037,1.0,11.71,101.34,-2.34,25.75,0.52,12.88,19.59,2606
5935,2024.1,2024,1,COWBOY COUNTRY,PO BOX 106,PREMONT,TX,78375,FCU,2,Yes,2423,17067955,14762193,13780566,0.73,16.08,107.12,-5.24,4.96,-1.37,0.62,6.69,2608
5960,2024.1,2024,1,U.S.B. EMPLOYEES,300 Falcon St.,Wilmington,CA,90744,FCU,3,No,299,1873829,262825,1262742,-0.14,32.56,20.81,-14.27,-12.45,-10.36,-2.92,-0.94,2620
5970,2024.1,2024,1,METROPOLITAN CHURCH,P.O. BOX 1738,SUFFOLK,VA,23439,FCU,1,No,1884,12806288,5531551,9631978,-0.67,24.27,57.43,-2.43,7.03,-0.88,2.11,4.16,2624
5974,2024.1,2024,1,SOUTHERN SECURITY,P O Box 310,Collierville,TN,38027,FCU,2,Yes,19714,239209647,150296683,218058695,0.16,9.4,68.92,-1.11,8.13,1.24,-2.96,3.28,2626
5982,2024.1,2024,1,ROUTE 31,"715 Terrace Street, Suite 101",Muskegon,MI,49440,FCU,1,Yes,9974,94051118,70892565,80813072,0.58,12.7,87.72,2.63,4.69,3.56,0.39,0.66,2631
5987,2024.1,2024,1,OCNAC #1,1082 summit ave,jersey city,NJ,07307,FCU,1,Yes,2311,6853708,1933768,6084562,0.34,10.07,31.78,-13.98,-2.36,-12.14,-4.9,3.05,2635
6008,2024.1,2024,1,SEAGOVILLE,2209 N Highway 175,Seagoville,TX,75159,FCU,2,No,933,16585150,6664276,13432163,1.57,18.15,49.61,-8.45,31.04,-5.5,0.65,7.5,2645
6011,2024.1,2024,1,SIDNEY,42 Union St,Sidney,NY,13838,FCU,1,Yes,70477,983444051,736028655,881114295,0.29,10.55,83.53,17.55,9.09,17.82,6.18,13.75,2648
6012,2024.1,2024,1,LIFETIME,P.O. BOX 833937,RICHARDSON,TX,75083,FCU,2,No,4545,57745563,31865955,47018727,-0.14,17.67,67.77,11.0,12.26,7.94,-4.44,-0.4,2649
6032,2024.1,2024,1,STRATA,PO BOX 1667,BAKERSFIELD,CA,93302,FCU,3,Yes,24024,349238786,259773761,290587906,0.23,12.51,89.4,0.17,1.82,3.48,2.4,7.1,2661
6039,2024.1,2024,1,LM,101 CHESAPEAKE PARK PLZ,BALTIMORE,MD,21220,FCU,1,No,3569,56770558,35427961,51040526,1.79,9.58,69.41,1.96,6.45,3.8,-1.6,22.78,2665
6048,2024.1,2024,1,SHREVEPORT POLICE,2750 MACKEY LANE,SHREVEPORT,LA,71118,FCU,2,Yes,999,7700177,5543997,6424146,1.63,16.37,86.3,1.0,8.81,1.86,1.83,6.21,2669
6053,2024.1,2024,1,CDC,P O Box 49169,Atlanta,GA,30359,FCU,2,No,20910,464006073,149580345,396259346,0.06,8.7,37.75,-1.74,8.24,13.3,0.05,-0.46,2670
6062,2024.1,2024,1,BEACON,PO Box 1704,La Porte,TX,77572,FCU,2,No,14858,203099896,108104238,190347721,0.18,7.83,56.79,-1.0,-0.73,0.05,-2.31,3.6,2674
6070,2024.1,2024,1,TRI STATE RAIL,110 W 13TH ST,ERIE,PA,16501,FCU,1,No,2466,21097803,7577837,17407803,0.4,17.27,43.53,-4.31,-1.35,-3.33,-7.26,1.42,2680
6072,2024.1,2024,1,PROSPECTORS FCU,1310 VALLEY VISTA DR,DIAMOND BAR,CA,91765,FCU,3,Yes,5265,102854773,69000036,85864159,-0.02,9.54,80.36,8.12,10.54,16.57,1.15,0.85,2682
6079,2024.1,2024,1,SELECT SEVEN,PO Box 3750,Johnson City,TN,37602,FCU,2,Yes,5779,58772610,47349398,50715152,0.47,11.62,93.36,-0.85,-4.08,1.09,-4.31,6.75,2686
6084,2024.1,2024,1,FRONT ROYAL,230 N ROYAL AVE,FRONT ROYAL,VA,22630,FCU,1,No,5594,83525948,20883703,71433273,1.52,13.94,29.24,-4.83,27.21,-2.61,-1.72,10.95,2690
6088,2024.1,2024,1,D C FIRE DEPARTMENT,P.O. BOX 70190,WASHINGTON,DC,20024,FCU,1,No,1661,7061313,2987010,5485700,0.3,22.23,54.45,-8.43,1.36,-6.3,3.17,1.58,2692
6095,2024.1,2024,1,HERSHEY,232 Hershey Rd,Hummelstown,PA,17036,FCU,1,No,7845,110035147,90537857,100905610,0.7,8.02,89.73,8.42,1.45,8.32,0.01,10.94,2695
6102,2024.1,2024,1,GREAT LAKES FIRST,2110 3RD AVE N,ESCANABA,MI,49829,FCU,1,No,7601,94326273,41640957,89195214,-0.33,9.92,46.69,1.7,6.97,1.59,-2.41,1.75,2698
6112,2024.1,2024,1,WATERTOWN POSTAL,"232 COMMERCE PARK DR, P O BOX 6601",WATERTOWN,NY,13601,FCU,1,No,521,5935848,2973940,5184639,2.01,13.42,57.36,-15.94,3.21,-13.88,-3.52,0.28,2703
6116,2024.1,2024,1,VALEX,1767 Jackson St,Alexandria,LA,71301,FCU,2,Yes,3015,43561877,35882150,40613830,-1.24,6.74,88.35,18.27,47.37,16.29,7.1,-2.92,2706
6134,2024.1,2024,1,FORT SMITH DIXIE CUP,4411 MIDLAND BLVD,FORT SMITH,AR,72904,FCU,2,Yes,1120,11572444,5962868,7424101,0.88,33.35,80.32,-4.09,30.17,0.17,4.19,4.53,2718
6144,2024.1,2024,1,RED LAKE CO OP,PO Box 154,Red Lake Falls,MN,56750,FCU,3,No,1448,6806314,3872439,5989849,0.2,11.92,64.65,-13.38,9.25,-11.61,-1.9,4.2,2726
6150,2024.1,2024,1,DOW BUCKS COUNTY,"310 George Patterson Dr, Suite 100B",Bristol,PA,19007,FCU,1,No,989,13388998,8368923,10757104,-0.61,20.54,77.8,-11.27,0.6,-8.85,-0.4,-2.22,2731
6160,2024.1,2024,1,SUN EAST,4500 Pennell Rd,Aston,PA,19014,FCU,1,No,51737,845969439,722768616,773205779,-0.26,8.27,93.48,-3.49,-4.97,-3.21,-1.55,-2.18,2737
6175,2024.1,2024,1,OLD OCEAN,PO Box 867,Sweeny,TX,77480,FCU,2,No,3093,41335493,16084860,34219193,1.59,16.86,47.01,-5.61,-1.37,-3.19,1.81,15.57,2746
6178,2024.1,2024,1,A+,PO Box 14867,Austin,TX,78761,FCU,2,Yes,191480,2572227584,2204015082,2025853805,0.72,11.85,108.79,-6.7,-9.23,-6.38,-2.18,5.67,2749
6179,2024.1,2024,1,COMMUNITY FINANCIAL SERVICES,149 ST. GEORGE AVE.,ROSELLE,NJ,07203,FCU,1,Yes,3519,34882200,13194945,31369689,-0.11,13.16,42.06,-8.2,-2.42,-6.81,-2.79,-0.31,2750
6184,2024.1,2024,1,ST. ANN'S ARLINGTON,PO BOX 5630,ARLINGTON,VA,22205,FCU,1,No,417,3377842,1137906,2973577,-0.13,11.27,38.27,-7.45,-27.06,-6.28,-10.9,-2.66,2751
6187,2024.1,2024,1,THE ONE,300 Arch St,Meadville,PA,16335,FCU,1,Yes,12201,114419399,83359890,103261436,0.82,8.57,80.73,11.89,11.19,12.06,3.31,10.57,2752
6196,2024.1,2024,1,DERRY AREA,P.O. BOX 128,DERRY,PA,15627,FCU,1,Yes,1900,13139200,6791058,11629986,0.5,11.26,58.39,1.18,6.57,2.64,-1.61,14.68,2757
6208,2024.1,2024,1,OMAHA DOUGLAS,8251 W CENTER RD,OMAHA,NE,68124,FCU,3,Yes,3603,40709252,10077914,35451991,1.42,12.17,28.43,-6.67,-6.04,-4.58,-4.0,10.3,2765
6214,2024.1,2024,1,UNITED NORTHWEST,P.O. BOX 176,NORTON,KS,67654,FCU,3,No,2486,57049614,20479963,48742131,0.53,13.92,42.02,4.02,2.2,3.97,-0.56,3.36,2769
6225,2024.1,2024,1,STEUBEN CITIZENS,2 WILSON AVE,BATH,NY,14810,FCU,1,Yes,2614,35463591,7103953,30831275,-1.23,11.27,23.04,-2.16,10.45,-0.78,-1.62,-0.92,2773
6233,2024.1,2024,1,WEST-AIRCOMM,P.O. Box 568,Beaver,PA,15009,FCU,1,No,21518,343197453,267624459,304952896,1.32,11.6,87.76,6.34,5.79,6.35,2.98,14.4,2778
6237,2024.1,2024,1,ALASKA DIST ENGINEERS,P.O. Box 6289,Elmendorf AFB,AK,99506,FCU,3,No,490,13703571,3206069,12670088,0.14,7.54,25.3,-3.93,-15.21,-3.59,-0.61,0.6,2781
6240,2024.1,2024,1,B I,PO BOX 345,Sewickley,PA,15143,FCU,1,No,357,3396903,1034214,2282597,1.18,32.73,45.31,-11.16,15.94,-6.39,-7.27,5.19,2783
6248,2024.1,2024,1,SKYONE,P.O. BOX 5003,HAWTHORNE,CA,90250,FCU,3,Yes,62098,1026617364,675174326,891751313,-0.33,6.75,75.71,15.67,4.06,21.85,12.34,28.33,2789
6269,2024.1,2024,1,TRI COUNTY AREA,1550 MEDICAL DR,POTTSTOWN,PA,19464,FCU,1,No,12660,190311095,106389412,172940939,1.42,9.51,61.52,-3.78,3.21,-1.4,-5.73,16.69,2799
6275,2024.1,2024,1,ALTANA,3212 Central Ave,Billings,MT,59102,FCU,3,Yes,38290,576792492,410448952,515373978,0.93,10.69,79.64,2.18,7.49,3.04,1.18,7.48,2802
6277,2024.1,2024,1,PHB EMPLOYEES,"7773 West Ridge Road, Box 241",Fairview,PA,16415,FCU,1,Yes,1166,8011013,2463691,6519107,1.52,18.49,37.79,-9.51,-1.05,-6.66,-1.85,7.99,2803
6288,2024.1,2024,1,UNITED,150 Hilltop Road,St Joseph,MI,49085,FCU,1,Yes,184158,3921709970,2934159531,3278915701,0.64,10.87,89.49,-1.39,-1.24,-0.47,-1.72,8.02,2808
6304,2024.1,2024,1,NEIMAN MARCUS GROUP EMPLOYEES,1618 Main St,Dallas,TX,75201,FCU,2,No,2722,10595664,6674562,8985928,-0.98,14.84,74.28,-11.06,5.25,-9.55,-6.3,1.4,2817
6311,2024.1,2024,1,TVH,P.O. BOX 2151,TUSKEGEE,AL,36083,FCU,2,Yes,702,4988602,3090849,3829309,0.99,24.47,80.72,2.54,1.66,3.63,1.74,0.69,2821
6317,2024.1,2024,1,WICHITA FALLS,2100 SEYMOUR HWY,WICHITA FALLS,TX,76301,FCU,2,Yes,2571,30085261,16460395,25644068,-0.08,13.56,64.19,-4.81,16.56,-3.33,-0.73,0.96,2822
6318,2024.1,2024,1,HOUSTON BELT & TERMINAL,9810 FM 1960 BYPASS RD W STE 105,HUMBLE,TX,77338,FCU,2,Yes,547,4209222,2334621,2728168,-0.44,33.25,85.57,2.78,-6.56,0.95,-3.87,1.77,2823
6326,2024.1,2024,1,SAN MATEO CITY EMPLOYEES,"CREDIT UNION, 330 W 20TH AVE",SAN MATEO,CA,94403,FCU,3,No,1070,37648041,6251056,31606179,-0.19,15.39,19.78,-9.03,5.55,-7.18,-3.69,0.15,2829
6328,2024.1,2024,1,NASA,500 PRINCE GEORGES BLVD,UPPER MARLBORO,MD,20774,FCU,1,No,241744,5379130985,4118242195,4278268845,0.47,9.5,96.26,12.82,4.74,11.31,4.91,8.08,2831
6332,2024.1,2024,1,TRUNORTH,1419 N SECOND ST,ISHPEMING,MI,49849,FCU,1,No,16305,215409035,123145035,183185072,0.1,8.33,67.22,0.38,16.29,9.49,-0.61,0.13,2834
6339,2024.1,2024,1,BATON ROUGE CITY PARISH EMP,P.O. BOX 3521,BATON ROUGE,LA,70821,FCU,2,Yes,5989,55578027,20915218,44429195,2.4,19.56,47.08,-8.05,2.21,-4.85,-0.96,10.18,2837
6353,2024.1,2024,1,WASHINGTON COUNTY TEACHERS,"19638 LEITERSBURG PIKE, SUITE 100",HAGERSTOWN,MD,21742,FCU,1,No,4379,86113698,30308613,73507995,1.43,14.48,41.23,-3.58,7.6,-1.68,1.48,11.04,2842
6368,2024.1,2024,1,WACO,P O BOX 646,WACO,TX,76703,FCU,2,Yes,1970,19010081,7467416,17098593,0.73,8.57,43.67,-4.31,5.59,-2.4,-1.2,13.04,2849
6369,2024.1,2024,1,STATEWIDE,P O Box 320483,Flowood,MS,39232,FCU,2,Yes,21945,177256922,104409198,159522106,0.47,9.37,65.45,0.65,0.96,2.3,2.28,7.36,2850
6370,2024.1,2024,1,SECURTRUST,3870 Goodman Road,Southaven,MS,38672,FCU,2,Yes,3393,43196635,33746327,35337399,1.21,17.36,95.5,13.26,16.52,11.56,1.34,2.78,2851
6418,2024.1,2024,1,C S P EMPLOYEES,PO Box 409,Somersville,CT,06072,FCU,1,No,1268,10543809,2502795,9320364,0.54,11.38,26.85,-7.61,20.32,-6.5,-1.09,3.32,2870
6424,2024.1,2024,1,YUMA COUNTY,P.O. BOX 271,YUMA,CO,80759,FCU,3,Yes,2385,51540053,21537837,45622140,1.05,10.87,47.21,6.67,1.87,6.98,-0.54,7.44,2872
6434,2024.1,2024,1,HERITAGE USA,5507 W Wadley Ave,Midland,TX,79707,FCU,2,Yes,6366,92243062,71793649,80876282,1.18,11.1,88.77,35.43,19.35,31.9,6.76,18.45,2874
6443,2024.1,2024,1,BAYONNE CITY EMPLOYEES,630 Avenue C,Bayonne,NJ,07002,FCU,1,Yes,714,4465044,1667782,3296862,-0.01,26.06,50.59,-9.24,-4.76,-7.4,1.85,-1.59,2879
6464,2024.1,2024,1,PAHO/WHO,"2112 F ST NW, STE 201",WASHINGTON,DC,20037,FCU,1,No,8123,327055120,168940090,266457932,0.25,13.81,63.4,4.77,2.16,12.48,0.69,4.88,2887
6466,2024.1,2024,1,MIDWEST LIBERTY,PO Box 385,McCook,NE,69001,FCU,3,Yes,2527,25262493,17854760,22491551,0.4,10.8,79.38,20.37,4.9,18.39,2.56,3.95,2888
6472,2024.1,2024,1,YOAKUM COUNTY,PO BOX 395,PLAINS,TX,79355,FCU,2,No,1038,9440157,4847977,7381297,0.48,21.32,65.68,-0.63,3.58,0.22,0.68,1.59,2890
6498,2024.1,2024,1,CT FIREFIGHTERS,776 MAPLE AVENUE,HARTFORD,CT,06114,FCU,1,No,1899,26893415,16444432,23682224,0.93,11.79,69.44,-0.25,30.11,0.34,11.05,5.29,2902
6506,2024.1,2024,1,MT GILEAD,1625 13TH ST NW,WASHINGTON,DC,20009,FCU,1,Yes,56,75236,11290,62706,0.05,16.16,18.0,-10.62,-48.54,-8.63,-5.08,2.96,2904
6527,2024.1,2024,1,BRIGHTVIEW,"713 S PEAR ORCHARD RD, STE 101",RIDGELAND,MS,39157,FCU,2,Yes,4978,37526888,20727301,31497495,1.07,14.75,65.81,-10.33,10.56,-7.19,-4.2,10.37,2914
6574,2024.1,2024,1,MERCK SHARP & DOHME,335 W BUTLER AVE,CHALFONT,PA,18914,FCU,1,No,32101,857868552,428764911,767854620,0.91,9.4,55.84,0.46,5.17,3.97,1.78,10.58,2944
6584,2024.1,2024,1,LES,PO BOX 44201,BATON ROUGE,LA,70804,FCU,2,Yes,4966,42240077,21372381,36828079,1.29,12.01,58.03,-4.11,-9.47,-2.62,-1.04,7.59,2950
6613,2024.1,2024,1,WALLED LAKE SCHOOLS,3095 S COMMERCE RD,WOLVERINE LAKE,MI,48390,FCU,1,No,5275,136845770,32784830,123264135,0.65,12.08,26.6,-1.23,5.3,0.31,-1.2,6.05,2965
6626,2024.1,2024,1,HEALTHCARE FINANCIAL,"20 York St, Rm 80CB",New Haven,CT,06510,FCU,1,Yes,9450,69528229,47624666,61266824,0.22,12.2,77.73,-5.63,3.17,-4.03,-1.46,7.55,2973
6627,2024.1,2024,1,SYRACUSE FIRE DEPARTMENT EMPLOYEES,211 WILKINSON ST,SYRACUSE,NY,13204,FCU,1,No,6288,127413843,66027203,109771629,1.22,13.78,60.15,0.61,6.82,2.12,3.57,8.28,2974
6628,2024.1,2024,1,POLICE CREDIT UNION OF CONNECTICUT,253 High Street,Hartford,CT,06103,FCU,1,No,2846,40250123,27404112,36037604,0.57,9.29,76.04,-4.42,2.45,-6.64,-0.42,5.92,2975
6636,2024.1,2024,1,CAREY POVERELLO,201 N Vance St,Carey,OH,43316,FCU,2,No,1709,26329102,8510639,22560405,1.0,14.07,37.72,-1.58,1.04,-0.47,-2.57,4.04,2981
6638,2024.1,2024,1,HARRISON POLICE & FIREMEN'S,PO Box 31,Harrison,NJ,07029,FCU,1,No,1352,23301067,11810357,19662764,1.08,15.47,60.06,-9.19,14.04,-7.04,-0.44,6.62,2982
6652,2024.1,2024,1,ATLANTIC FINANCIAL,40 SCHILLING RD,HUNT VALLEY,MD,21031,FCU,1,Yes,8972,101197527,61416415,91765029,-0.41,10.48,66.93,-4.38,-6.61,-4.33,-7.26,-4.36,2990
6665,2024.1,2024,1,FINANCIAL RESOURCES,"520 Route 22 East, 1st Floor",Bridgewater,NJ,08807,FCU,1,No,29248,656980843,493245507,549574513,0.35,8.12,89.75,4.74,11.11,10.93,3.72,5.77,2999
6667,2024.1,2024,1,TSU,3500 John Merritt Blvd.,Nashville,TN,37209,FCU,2,Yes,384,1219754,636740,1111405,-0.48,8.85,57.29,-0.24,0.57,-0.85,2.4,-6.67,3001
6670,2024.1,2024,1,CONNECTS,7700 Shrader Rd,Richmond,VA,23228,FCU,1,Yes,9045,92644135,45334485,86358841,0.03,7.68,52.5,-5.49,0.17,-4.61,13.36,0.47,3002
6672,2024.1,2024,1,U S EMPLOYEES,P O Box 885,Fairmont,WV,26555,FCU,1,No,122,666321,345667,592277,-1.63,10.98,58.36,-12.1,-31.79,-13.06,-9.63,-8.99,3003
6674,2024.1,2024,1,HOME,131 W Pike St,Clarksburg,WV,26301,FCU,1,Yes,2964,34122104,23977156,29065120,0.02,14.7,82.49,-5.13,4.44,-6.63,-0.67,-0.37,3005
6679,2024.1,2024,1,ACT 1ST,"1313 National Highway, STE 7, PMB 3",LaVale,MD,21502,FCU,1,Yes,12758,146729206,108051709,136408558,0.21,6.77,79.21,-1.35,2.15,-2.37,-2.75,-15.46,3008
6680,2024.1,2024,1,AOD,PO BOX 608,BYNUM,AL,36253,FCU,2,Yes,37494,434568927,230538347,395249723,1.23,14.27,58.33,4.11,6.88,2.23,0.77,11.17,3009
6681,2024.1,2024,1,CALTECH EMPLOYEES,P.O. Box 11001,La Canada,CA,91012,FCU,3,No,34488,2014131434,586332197,1582655986,0.08,10.28,37.05,-12.6,1.63,-0.65,0.37,0.78,3010
6685,2024.1,2024,1,WEPCO,P.O. BOX 157,BLOOMINGTON,MD,21523,FCU,1,Yes,40249,352971527,267382687,303516670,2.54,13.84,88.09,-1.76,11.94,-1.4,3.71,16.61,3011
6687,2024.1,2024,1,T & P LONGVIEW,2320 N Eastman Rd,Longview,TX,75605,FCU,2,No,1061,11669497,8515765,9173755,0.82,20.66,92.83,-1.17,3.76,-0.12,0.95,2.36,3012
6689,2024.1,2024,1,LATROBE,1812 LIGONIER STREET,LATROBE,PA,15650,FCU,1,Yes,1808,15108545,4066484,13623260,0.34,9.83,29.85,8.42,28.46,8.6,-4.08,11.0,3013
6690,2024.1,2024,1,TRI-VALLEY SERVICE,PO BOX 16345,PITTSBURGH,PA,15242,FCU,1,Yes,3771,20208674,16312459,18727834,-0.09,7.1,87.1,-8.38,-0.31,-8.72,-0.89,-13.14,3014
6694,2024.1,2024,1,MEMBERS 1ST,5000 Marketplace Way,Enola,PA,17025,FCU,1,No,581464,7838511806,6246547893,6737277998,1.39,11.44,92.72,8.76,7.94,10.14,5.43,11.83,3016
6700,2024.1,2024,1,JERSEY CITY FIREMEN,666 Summit Ave,Jersey City,NJ,07306,FCU,1,No,1260,12406368,4833153,6531700,-3.81,42.82,74.0,-2.47,6.44,2.12,-3.15,0.7,3021
6711,2024.1,2024,1,SANTA BARBARA COUNTY,2623 DE LA VINA ST.,SANTA BARBARA,CA,93105,FCU,3,No,4111,62309515,27151109,55388930,1.62,10.44,49.02,-5.62,0.95,-3.53,-0.77,18.76,3028
6722,2024.1,2024,1,GROVE CITY AREA,1600 S CENTER STREET EXT,GROVE CITY,PA,16127,FCU,1,Yes,9185,125531926,66820230,107833977,1.42,14.04,61.97,4.0,1.22,4.85,1.48,10.72,3034
6723,2024.1,2024,1,FRANKLIN JOHNSTOWN,310 BLOOMFIELD ST,JOHNSTOWN,PA,15904,FCU,1,Yes,4236,37235517,11877625,33887589,0.74,12.21,35.05,-5.8,13.96,-4.57,-2.26,5.85,3035
6725,2024.1,2024,1,L R F D,210 S GAINES ST,LITTLE ROCK,AR,72201,FCU,2,No,879,15323855,11100333,12245635,-1.48,19.19,90.65,-13.41,13.05,-10.34,1.62,3.3,3036
6726,2024.1,2024,1,TEMPLE-INLAND,109 N Temple Dr,Diboll,TX,75941,FCU,2,Yes,1601,20551521,7900549,17648546,0.81,15.36,44.77,0.28,-4.02,1.5,-1.6,5.12,3037
6733,2024.1,2024,1,CENCAP,443 FRANKLIN AVe,HARTFORD,CT,06114,FCU,1,Yes,8247,41847875,27473818,39104202,-0.96,6.28,70.26,1.69,3.07,1.42,-9.21,9.16,3039
6739,2024.1,2024,1,MID-STATE,237 Roosevelt Ave,Carteret,NJ,07008,FCU,1,Yes,863,21352154,6888581,17002431,0.32,13.45,40.52,6.41,-10.92,7.34,3.11,45.27,3041
6743,2024.1,2024,1,ABILENE TEACHERS,PO Box 5706,Abilene,TX,79608,FCU,2,Yes,54272,619341384,375813706,502438609,0.82,16.69,74.8,2.2,4.89,2.79,1.12,2.28,3044
6747,2024.1,2024,1,DYNAMIC,900 E WAYNE ST,CELINA,OH,45822,FCU,2,No,6096,65955912,41623542,53087739,1.66,19.74,78.41,1.21,-0.85,2.73,1.5,8.82,3047
6772,2024.1,2024,1,SORG BAY WEST,400 N BROAD ST,MIDDLETOWN,OH,45042,FCU,2,No,954,11276466,9098643,10418780,-2.93,6.47,87.33,14.01,14.31,11.71,-0.52,-14.07,3059
6774,2024.1,2024,1,COOSA PINES,33710 US Highway 280,Childersburg,AL,35044,FCU,2,Yes,25385,368428011,219783226,322049678,1.3,14.78,68.25,4.49,7.75,5.41,2.76,10.0,3061
6775,2024.1,2024,1,Y-12,501 Lafayette Drive,Oak Ridge,TN,37831,FCU,2,Yes,112625,1951152594,1637545069,1657451218,1.25,11.77,98.8,7.87,2.8,2.62,2.25,9.44,3062
6778,2024.1,2024,1,ENRICHMENT,P O BOX 883,OAK RIDGE,TN,37831,FCU,2,Yes,45678,873662106,642518845,779764612,1.39,10.37,82.4,12.29,9.11,12.79,1.89,15.84,3065
6785,2024.1,2024,1,LESCO,2613 Ligonier Street,Latrobe,PA,15650,FCU,1,Yes,7779,102898948,23872713,85649171,2.54,16.71,27.87,1.91,8.0,3.23,-1.98,9.65,3069
6832,2024.1,2024,1,GERBER,PO Box 116,Fremont,MI,49412,FCU,1,Yes,15866,229826267,135990020,211292775,0.39,9.58,64.36,1.51,7.15,1.6,0.95,6.48,3093
6844,2024.1,2024,1,TRAVERSE CATHOLIC,3797 VETERANS DR,TRAVERSE CITY,MI,49684,FCU,1,No,7231,87083546,48705183,81657579,0.55,8.61,59.65,-9.05,-10.76,-6.59,-3.52,4.4,3100
6853,2024.1,2024,1,GREAT PLAINS,P O BOX 2968,JOPLIN,MO,64803,FCU,3,No,29001,331994294,137452452,287942695,-1.13,14.17,47.74,-3.55,-1.48,-4.43,0.0,-6.88,3107
6859,2024.1,2024,1,ARTESIAN,1221 US Highway 82 W,Leesburg,GA,31763,FCU,2,Yes,3277,33965479,24013483,29909290,-1.42,11.19,80.29,10.64,0.19,9.11,6.67,-3.6,3109
6870,2024.1,2024,1,FINANCIAL TRUST,3333 Harlem Rd,Cheektowaga,NY,14225,FCU,1,No,13602,170305358,89092071,145422204,1.6,14.07,61.26,-2.82,4.38,-0.65,-0.15,12.66,3113
6871,2024.1,2024,1,CHIROPRACTIC,23617 LIBERTY ST,FARMINGTON,MI,48335,FCU,1,No,2750,39973977,19791760,34353995,0.54,13.96,57.61,-7.06,-9.58,-4.17,-1.29,6.55,3114
6878,2024.1,2024,1,RVA FINANCIAL,1700 Robin Hood Rd,Richmond,VA,23220,FCU,1,Yes,9034,81241607,53494934,67341131,0.44,9.46,79.44,-4.74,-5.42,2.88,-1.06,0.9,3119
6885,2024.1,2024,1,PEOPLE FIRST,740 W Hamilton St Ste 300,Allentown,PA,18101,FCU,1,No,72898,884404313,527170243,833165107,-0.45,8.33,63.27,2.56,10.25,3.1,1.78,0.49,3122
6898,2024.1,2024,1,ACADIAN,102 Sunbeam Ln,Lafayette,LA,70506,FCU,2,Yes,2789,19397367,11641277,17558548,1.09,9.33,66.3,-5.79,3.84,-4.12,-9.68,17.17,3128
6918,2024.1,2024,1,VAPR,P.O.BOX 33017,SAN JUAN,PR,00933,FCU,2,Yes,19500,257325758,130022271,236423481,0.66,10.55,55.0,7.55,11.68,8.4,2.89,12.06,3138
6920,2024.1,2024,1,NEPHI WESTERN EMPLOYEES,PO Box 252,Nephi,UT,84648,FCU,3,No,3078,42989647,30999565,28295235,1.17,33.68,109.56,-0.35,-2.97,1.2,-3.09,4.4,3139
6930,2024.1,2024,1,CADETS,1751 TRANSIT ROAD,ELMA,NY,14059,FCU,1,Yes,1179,18523637,11758694,16931531,1.52,8.39,69.45,7.87,-4.9,7.45,-0.08,2.43,3143
6936,2024.1,2024,1,CENTRAL MAINE,P.O. Box 1746,Lewiston,ME,04240,FCU,1,No,5279,134537800,35152718,116010772,1.75,13.54,30.3,-0.26,-5.51,1.94,-2.75,18.31,3146
6944,2024.1,2024,1,JERSEY CITY POLICE,161 STERLING AVE,JERSEY CITY,NJ,07305,FCU,1,No,1047,8825648,2237534,7010477,-0.24,20.47,31.92,-12.53,14.12,-10.17,0.67,0.21,3152
6949,2024.1,2024,1,NORTHWESTERN,234 N MAIN STREET,BRYAN,OH,43506,FCU,2,No,1749,15491145,5425233,14184273,-0.01,8.14,38.25,8.15,13.02,7.48,-15.91,-0.16,3153
6974,2024.1,2024,1,CONSUMERS COOPERATIVE,PO BOX 836,ALLIANCE,NE,69301,FCU,3,Yes,3246,40482658,28779979,31309137,1.68,21.91,91.92,2.87,14.55,4.07,2.49,7.68,3165
